INSTRUCTIONAL FUNDING,TOTAL FUNDS (IN THOUSANDS OF DOLLARS),,,,,
YEAR,2019-2020,2018-2019,2017-2018,2016-2017,2015-2016,"Undergrad Enrollment, 2019-2020"
COLLEGE OF ENGINEERING,,,,,,
Bioengineering,"$7,409","$7,111","$6,870","$6,555","$6,440",464
Civil and Environmental Engineering,"$15,541","$15,648","$15,165","$14,333","$14,325",383
Dean's Office,"$18,140","$15,747","$14,212","$13,569","$14,553",
Earthquake Engineering Research Center,$2,$0,$25,$5,$0,
Electrical Engineering and Computer Science,"$44,821","$39,732","$37,077","$34,781","$33,916",1692
Engineering Research,$288,$91,$88,$63,$68,
Industrial Engineering and Operations Research,"$8,990","$7,159","$7,050","$6,772","$6,650",203
Institute for Environment Science and Research,$0,$0,$0,$1,$0,
Materials Science and Engineering,"$5,516","$5,306","$4,382","$4,713","$4,557",133
Mechanical Engineering,"$17,107","$17,009","$17,708","$16,953","$16,509",698
Nuclear Engineering,"$2,493","$2,348","$2,508","$1,979","$2,271",69
TOTAL,"$120,307","$110,151","$105,085","$99,724","$99,289",
COLLEGE OF CHEMISTRY,,,,,,
Chemistry ,"$8,829","$8,116","$7,196","$7,602","$7,311",
Chemical Engineering,"$20,835","$20,563","$18,459","$19,972","$19,828",
Dean's Office,"$8,329","$7,998","$7,103","$7,069","$7,504",
TOTAL,,,"$32,758","$34,643","$34,643",
COLLEGE OF LETTERS AND SCIENCE,,,,,,
African American Studies,"$3,845","$3,494","$3,333","$3,024","$3,305",
Ancient History And Mediterranean Archaeology,$70,$100,$144,$139,$193,
Anthropology,"$8,736","$8,939","$8,590","$8,977","$8,373",
Arts And Humanities Dean's Office,"$1,522",$770,$536,"$1,174",$702,
Art History,"$4,043","$3,640","$3,752","$3,963","$4,407",
Art Practice,"$2,738","$2,918","$2,700","$2,368","$2,603",
Astronomy,"$5,615","$6,200","$5,673","$5,800","$4,786",
Biological Sciences Dean's Office,"$1,165",$793,$853,$794,$892,
Bioscience Divisional Services,"$3,802","$3,603","$3,721","$3,488","$3,380",
CASMA,$501,$432,$483,$406,$365,
Center For New Music and Audio Technologies,$5,$27,$107,-$89,$26,
Center For Particle Astrophysics,$59,$55,$62,$66,$50,
Classics,"$3,733","$3,624","$3,600","$4,045","$3,569",
College Writing Programs,"$3,463","$3,110","$2,803","$2,520","$2,474",
Comparative Literature,"$4,070","$4,055","$3,637","$3,838","$3,349",
Comparative Literature And French Administration,$666,$606,$545,$540,$595,
Dean's Office,"$6,698","$9,542","$9,066","$9,060","$8,409",
Demography,"$1,287","$1,143","$1,109","$1,138","$1,073",
Diving Control,$0,$0,$0,$4,$0,
Dramatic Art,"$4,882","$4,773","$4,675","$4,596","$4,703",
Earth And Planetary Science,"$5,988","$5,793","$6,010","$5,210","$5,303",
East Asian Languages,"$6,678","$6,653","$6,841","$6,363","$5,744",
